time,value,readout,run,experiment,value_post_inhib_scaled
1410,0.189320388,PH,1,2,0.189320388
1425,0.218315403,PH,1,2,0.218315403
1440,0.229204933,PH,1,2,0.229204933
1455,0.209000262,PH,1,2,0.209000262
1470,0.218053004,PH,1,2,0.218053004
1485,0.222120178,PH,1,2,0.222120178
1500,0.158619785,PH,1,2,0.158619785
1515,0.188008397,PH,1,2,0.188008397
1530,0.159538179,PH,1,2,0.159538179
1545,0.16098137,PH,1,2,0.16098137
1560,0.16098137,PH,1,2,0.16098137
1575,0.176462871,PH,1,2,0.176462871
1590,0.17816846,PH,1,2,0.17816846
1605,0.235240094,PH,1,2,0.235240094
1620,0.178824456,PH,1,2,0.178824456
1635,0.217790606,PH,1,2,0.217790606
1650,0.216741013,PH,1,2,0.216741013
1665,0.225531357,PH,1,2,0.225531357
1680,0.234190501,PH,1,2,0.234190501
1695,0.248228811,PH,1,2,0.248228811
1710,0.221070585,PH,1,2,0.221070585
1725,0.247835214,PH,1,2,0.247835214
1740,0.217921805,PH,1,2,0.217921805
1755,0.222907373,PH,1,2,0.222907373
1770,0.209131462,PH,1,2,0.209131462
1785,0.216741013,PH,1,2,0.216741013
1800,0.18118604,PH,1,2,0.18118604
1815,0.203358699,PH,1,2,0.203358699
1830,0.161374967,PH,1,2,0.161374967
1845,0.200078719,PH,1,2,0.200078719
1860,0.225531357,PH,1,2,0.225531357
1875,0.254395172,PH,1,2,0.254395172
1890,0.212805038,PH,1,2,0.212805038
1905,0.215297822,PH,1,2,0.215297822
1920,0.203227499,PH,1,2,0.203227499
1935,0.222120178,PH,1,2,0.222120178
1950,0.193256363,PH,1,2,0.193256363
1965,0.233272107,PH,1,2,0.233272107
1980,0.207557072,PH,1,2,0.207557072
1995,0.25623196,PH,1,2,0.25623196
2010,0.248228811,PH,1,2,0.248228811
2025,0.192600367,PH,1,2,0.192600367
2040,0.204933088,PH,1,2,0.204933088
2055,0.249016006,PH,1,2,0.249016006
2070,0.226712149,PH,1,2,0.226712149
2085,0.276699029,PH,1,2,0.276699029
2100,0.269220677,PH,1,2,0.269220677
2115,0.26095513,PH,1,2,0.26095513
2130,0.292836526,PH,1,2,0.292836526
2145,0.259511939,PH,1,2,0.259511939
2160,0.275124639,PH,1,2,0.275124639
2175,0.072616782,PH,1,2,0.072616782
2190,0.164606708,PH,1,2,0.164606708
2205,0.020283291,PH,1,2,0.020283291
2220,0.043036983,PH,1,2,0.043036983
2235,0.027434451,PH,1,2,0.027434451
2250,-0.042451888,PH,1,2,-0.042451888
2265,-0.064555474,PH,1,2,-0.064555474
2280,-0.00474577,PH,1,2,-0.00474577
2295,0.076842468,PH,1,2,0.076842468
2310,0.015082447,PH,1,2,0.015082447
2325,0.039786455,PH,1,2,0.039786455
2340,-0.153944978,PH,1,2,-0.153944978
2355,-0.085683902,PH,1,2,-0.085683902
2370,-0.176048564,PH,1,2,-0.176048564
2385,-0.131191286,PH,1,2,-0.131191286
2400,-0.151669609,PH,1,2,-0.151669609
2415,0.015732553,PH,1,2,0.015732553
2430,-0.095435484,PH,1,2,-0.095435484
2445,-0.130866233,PH,1,2,-0.130866233
2460,-0.082108322,PH,1,2,-0.082108322
2475,-0.122739915,PH,1,2,-0.122739915
2490,-0.044402204,PH,1,2,-0.044402204
2505,-0.078207689,PH,1,2,-0.078207689
2520,0.105447109,PH,1,2,0.105447109
2535,0.049212985,PH,1,2,0.049212985
2550,0.017682869,PH,1,2,0.017682869
2565,-0.1090877,PH,1,2,-0.1090877
2580,0.069691307,PH,1,2,0.069691307
2595,-0.02489904,PH,1,2,-0.02489904
2610,0.080743101,PH,1,2,0.080743101
2625,-0.04862789,PH,1,2,-0.04862789
2640,0.063515305,PH,1,2,0.063515305
2655,0.072291729,PH,1,2,0.072291729
2670,-0.091859904,PH,1,2,-0.091859904
2685,0.015082447,PH,1,2,0.015082447
2700,-0.026849356,PH,1,2,-0.026849356
0,0,iSH2,1,2,0
15,-0.055054945,iSH2,1,2,-0.055054945
30,-0.064505495,iSH2,1,2,-0.064505495
45,-0.038021978,iSH2,1,2,-0.038021978
60,-0.03010989,iSH2,1,2,-0.03010989
75,-0.024945055,iSH2,1,2,-0.024945055
90,0.006593407,iSH2,1,2,0.006593407
105,0.002857143,iSH2,1,2,0.002857143
120,-0.00956044,iSH2,1,2,-0.00956044
135,0.003516484,iSH2,1,2,0.003516484
150,-0.044395604,iSH2,1,2,-0.044395604
165,-0.024285714,iSH2,1,2,-0.024285714
180,-0.026813187,iSH2,1,2,-0.026813187
195,-0.004725275,iSH2,1,2,-0.004725275
210,-0.006043956,iSH2,1,2,-0.006043956
225,0.022087912,iSH2,1,2,0.022087912
240,0.02,iSH2,1,2,0.02
255,0.013736264,iSH2,1,2,0.013736264
270,0.027582418,iSH2,1,2,0.027582418
285,0.046263736,iSH2,1,2,0.046263736
300,0.05043956,iSH2,1,2,0.05043956
315,0.029450549,iSH2,1,2,0.029450549
330,0.055384615,iSH2,1,2,0.055384615
345,0.048241758,iSH2,1,2,0.048241758
360,0.052747253,iSH2,1,2,0.052747253
375,0.111758242,iSH2,1,2,0.111758242
390,0.066593407,iSH2,1,2,0.066593407
405,0.028681319,iSH2,1,2,0.028681319
420,0.04956044,iSH2,1,2,0.04956044
435,0.081758242,iSH2,1,2,0.081758242
450,0.078241758,iSH2,1,2,0.078241758
465,0.057252747,iSH2,1,2,0.057252747
480,0.081538462,iSH2,1,2,0.081538462
495,0.062197802,iSH2,1,2,0.062197802
510,0.132307692,iSH2,1,2,0.132307692
525,0.108351648,iSH2,1,2,0.108351648
540,0.061208791,iSH2,1,2,0.061208791
